User ID,Heart Rate (BPM),Blood Oxygen Level (%),Step Count,Sleep Duration (hours),Activity Level,Stress Level
4174.0,58.94,98.81,5450.0,7.17,Highly Active,1.0
1860.0,247.8,97.05,2827.0,6.5,Highly Active,5.0
2294.0,40.0,96.89,13797.0,7.37,Active,3.0
2130.0,61.95,98.58,15679.0,7.37,Highly Active,6.0
2095.0,96.29,94.2,10206.0,8.38,Highly Active,10.0
4772.0,47.27,95.39,3209.0,7.87,Sedentary,2.0
4092.0,81.73,95.98,6051.0,5.22,Sedentary,1.0
3979.0,93.34,97.22,1775.0,5.47,Sedentary,1.0
3169.0,51.41,97.27,7940.0,7.95,Sedentary,8.0
1466.0,101.91,97.27,2988.0,7.54,Sedentary,9.0
2238.0,73.85,95.4,1748.0,4.83,Active,1.0
1330.0,95.37,99.15,6156.0,5.81,Highly Active,10.0
2482.0,79.06,99.01,830.0,6.27,Sedentary,10.0
3135.0,68.09,99.73,8124.0,6.44,Highly Active,5.0
4444.0,40.0,99.05,1449.0,6.39,Active,2.0
4171.0,58.28,97.79,5644.0,7.85,Sedentary,10.0
3919.0,58.28,96.05,3489.0,6.72,Sedentary,4.0
4735.0,98.06,96.03,5847.0,6.62,Sedentary,9.0
2685.0,74.11,99.65,2601.0,6.75,Highly Active,9.0
4380.0,68.31,99.65,1058.0,6.46,Active,3.0
1769.0,81.27,96.07,10503.0,5.78,Active,3.0
3391.0,76.33,98.76,509.0,4.77,Sedentary,9.0
2515.0,69.42,99.25,3306.0,8.42,Highly Active,1.0
4485.0,84.59,99.02,4173.0,9.17,Sedentary,9.0
3853.0,64.63,99.79,1520.0,6.87,Sedentary,2.0
3433.0,75.17,98.1,3401.0,8.65,Sedentary,10.0
2215.0,86.55,97.47,3790.0,6.84,Sedentary,1.0
1955.0,64.1,98.15,1778.0,4.42,Sedentary,7.0
3324.0,69.62,100.0,7137.0,6.95,Sedentary,2.0
2184.0,66.63,99.52,219.0,5.99,Sedentary,6.0
1459.0,81.78,98.19,1541.0,7.21,Highly Active,10.0
4385.0,80.24,100.0,6849.0,7.21,Sedentary,6.0
1021.0,67.23,100.0,6913.0,5.74,Active,10.0
3300.0,80.11,100.0,2158.0,7.08,Highly Active,4.0
1747.0,40.0,100.0,8043.0,7.79,Active,5.0
3904.0,87.53,100.0,4441.0,8.53,Sedentary,5.0
4632.0,88.44,100.0,5244.0,7.98,Sedentary,6.0
1474.0,67.4,92.66,2831.0,4.83,Sedentary,7.0
2082.0,64.42,98.42,29066.0,4.83,Highly Active,3.0
3558.0,74.14,95.06,9360.0,7.65,Active,4.0
4753.0,61.35,100.0,1999.0,5.92,Highly Active,2.0
3047.0,63.68,97.37,1889.0,5.02,Active,2.0
4547.0,79.62,98.89,10416.0,8.28,Sedentary,9.0
3747.0,87.14,97.71,3437.0,5.95,Highly Active,9.0
1975.0,79.77,100.0,672.0,8.95,Highly Active,2.0
2806.0,118.29,95.63,254.0,5.84,Active,8.0
1189.0,93.73,99.41,3741.0,5.38,Sedentary,3.0
4005.0,86.03,95.91,3750.0,6.4,Sedentary,3.0
3734.0,85.49,93.73,8590.0,7.64,Highly Active,7.0
